model,subject,accuracy,kappa
riemann_lr,28,0.48,-0.015584415584415545
eegnet,28,0.36,-0.2917748917748918
denoising_eegnet,28,0.48,-0.10349650349650345
csp_lda,29,0.888888888888889,0.7760975609756098
csp_svm,29,0.6888888888888889,0.42000000000000004
riemann_lr,29,0.8444444444444443,0.6789967413844179
eegnet,29,0.6444444444444444,0.27983114446529084
denoising_eegnet,29,0.7555555555555555,0.4916136495083864
csp_lda,30,0.3555555555555555,-0.3004576567367265
csp_svm,30,0.5111111111111111,-0.028814520703346603
riemann_lr,30,0.48888888888888893,-0.021222192441704667
eegnet,30,0.48888888888888893,-0.011946102677809956
denoising_eegnet,30,0.5555555555555556,0.13368770764119603
csp_lda,31,0.7333333333333333,0.4616483516483516
csp_svm,31,0.7777777777777778,0.5608710801393728
riemann_lr,31,0.8,0.608704318936877
eegnet,31,0.5555555555555556,0.13413985900656353
denoising_eegnet,31,0.7333333333333333,0.4619217367997856
csp_lda,32,0.78,0.5412587412587413
csp_svm,32,0.74,0.509090909090909
riemann_lr,32,0.6100000000000001,0.20909090909090908
eegnet,32,0.5700000000000001,0.10256410256410257
denoising_eegnet,32,0.6599999999999999,0.31165501165501164
csp_lda,33,0.7111111111111111,0.43727574750830567
csp_svm,33,0.5777777777777778,0.20686411149825784
riemann_lr,33,0.6888888888888889,0.4032214127336079
eegnet,33,0.4888888888888888,-0.02791208791208786
denoising_eegnet,33,0.48888888888888893,-0.025815147625160483
csp_lda,34,0.9333333333333332,0.868131868131868
csp_svm,34,0.6833333333333333,0.3615384615384615
riemann_lr,34,0.8416666666666666,0.6753846153846154
eegnet,34,0.5416666666666666,0.10181184668989554
denoising_eegnet,34,0.6527777777777778,0.30000000000000004
csp_lda,35,0.8,0.6018205993188828
csp_svm,35,0.6222222222222221,0.23565532028946662
riemann_lr,35,0.6222222222222221,0.24707317073170731
eegnet,35,0.4666666666666667,-0.06783605354850537
denoising_eegnet,35,0.5555555555555556,0.08670763923652243
csp_lda,36,0.5857142857142856,0.17600000000000002
csp_svm,36,0.49523809523809526,0.009777777777777752
riemann_lr,36,0.5523809523809524,0.10897435897435899
eegnet,36,0.4428571428571429,-0.07464387464387465
denoising_eegnet,36,0.4904761904761905,-0.017999999999999995
csp_lda,37,0.3138888888888889,-0.39731707317073167
csp_svm,37,0.4305555555555555,-0.18626649905719672
riemann_lr,37,0.4583333333333333,-0.08612873647533463
eegnet,37,0.34444444444444444,-0.30414634146341457
denoising_eegnet,37,0.5194444444444445,0.030664285927443836
csp_lda,38,0.49444444444444446,0.0042140234306697
csp_svm,38,0.5222222222222223,0.0
riemann_lr,38,0.5638888888888889,0.12184852374839542
eegnet,38,0.6361111111111111,0.27460466362905384
denoising_eegnet,38,0.4972222222222221,-0.014970336189848398
csp_lda,39,0.7,0.4
csp_svm,39,0.4666666666666666,0.0
riemann_lr,39,0.4666666666666666,0.0
eegnet,39,0.5,0.039999999999999945
denoising_eegnet,39,0.7333333333333333,0.4
csp_lda,40,0.38055555555555554,-0.2882230003282635
csp_svm,40,0.5444444444444445,0.0
riemann_lr,40,0.49722222222222223,-0.05943210416894631
eegnet,40,0.6361111111111111,0.27895470383275267
denoising_eegnet,40,0.49722222222222223,-0.010670908039329064
